,precision,recall,f1-score,support
Adventure,1.0,0.875,0.9333333333333333,8.0
Relax,0.9375,0.6818181818181818,0.7894736842105263,22.0
Rural,1.0,0.75,0.8571428571428571,8.0
Urban,0.4375,0.7777777777777778,0.56,9.0
Mountain,0.875,0.6363636363636364,0.7368421052631579,11.0
Historical,0.75,0.75,0.75,12.0
Food,0.0,0.0,0.0,3.0
Nature,1.0,0.6111111111111112,0.7586206896551724,18.0
micro avg,0.8157894736842105,0.6813186813186813,0.7425149700598802,91.0
macro avg,0.75,0.6352588383838383,0.6731765837006309,91.0
weighted avg,0.8482142857142857,0.6813186813186813,0.7416776499794389,91.0
samples avg,0.7486772486772486,0.6706349206349206,0.6866213151927437,91.0
